window_index,attack_label,attack_type,original_score,k,ig_masked_score,ig_score_drop,random_masked_score_mean,random_score_drop_mean,delta_drop,ig_topk_features,ig_target
14135,1,DDoS,0.5324211120605469,5,0.5008420348167419,0.03157907724380493,0.5179613947868347,0.014459717273712203,0.01711935997009273,Bwd Packet Length Std;Bwd Packet Length Mean;PSH Flag Count;ACK Flag Count;Avg Bwd Segment Size,fused_tad_score
14135,1,DDoS,0.5324211120605469,10,0.4127080738544464,0.11971303820610046,0.560826325416565,-0.02840521335601809,0.14811825156211855,Bwd Packet Length Std;Bwd Packet Length Mean;PSH Flag Count;ACK Flag Count;Avg Bwd Segment Size;Packet Length Variance;Max Packet Length;Packet Length Std;Average Packet Size;Flow Duration,fused_tad_score
14135,1,DDoS,0.5324211120605469,20,0.40643155574798584,0.12598955631256104,0.5412866830825805,-0.00886557102203367,0.1348551273345947,Bwd Packet Length Std;Bwd Packet Length Mean;PSH Flag Count;ACK Flag Count;Avg Bwd Segment Size;Packet Length Variance;Max Packet Length;Packet Length Std;Average Packet Size;Flow Duration;URG Flag Count;Fwd IAT Total;Packet Length Mean;SYN Flag Count;Bwd IAT Total;Destination Port;Idle Min;Bwd Packet Length Max;Fwd IAT Mean;Bwd IAT Max,fused_tad_score
14692,1,DDoS,0.4403078854084015,5,0.48883384466171265,-0.04852595925331116,0.4408633172512054,-0.0005554318428039329,-0.047970527410507224,PSH Flag Count;ACK Flag Count;Bwd Packet Length Std;Max Packet Length;Packet Length Variance,fused_tad_score
14692,1,DDoS,0.4403078854084015,10,0.5026679039001465,-0.062360018491744995,0.45277761220932006,-0.012469726800918568,-0.04989029169082643,PSH Flag Count;ACK Flag Count;Bwd Packet Length Std;Max Packet Length;Packet Length Variance;Bwd Packet Length Mean;Average Packet Size;Flow Duration;Fwd IAT Total;URG Flag Count,fused_tad_score
14692,1,DDoS,0.4403078854084015,20,0.407315731048584,0.032992154359817505,0.5006156921386719,-0.060307806730270364,0.09329996109008787,PSH Flag Count;ACK Flag Count;Bwd Packet Length Std;Max Packet Length;Packet Length Variance;Bwd Packet Length Mean;Average Packet Size;Flow Duration;Fwd IAT Total;URG Flag Count;Packet Length Std;Avg Bwd Segment Size;SYN Flag Count;Bwd IAT Total;Packet Length Mean;Destination Port;Idle Min;Bwd Packet Length Max;Fwd IAT Mean;Bwd IAT Max,fused_tad_score
14766,1,DDoS,0.44486862421035767,5,0.4602358341217041,-0.015367209911346436,0.4437613844871521,0.0011072397232055886,-0.016474449634552024,ACK Flag Count;PSH Flag Count;Bwd IAT Total;Flow Duration;SYN Flag Count,fused_tad_score
14766,1,DDoS,0.44486862421035767,10,0.4358835816383362,0.008985042572021484,0.4576296627521515,-0.012761038541793834,0.02174608111381532,ACK Flag Count;PSH Flag Count;Bwd IAT Total;Flow Duration;SYN Flag Count;Idle Min;Avg Bwd Segment Size;URG Flag Count;Fwd IAT Total;Bwd Packet Length Std,fused_tad_score
14766,1,DDoS,0.44486862421035767,20,0.41733378171920776,0.027534842491149902,0.4637438476085663,-0.01887522339820863,0.04641006588935853,ACK Flag Count;PSH Flag Count;Bwd IAT Total;Flow Duration;SYN Flag Count;Idle Min;Avg Bwd Segment Size;URG Flag Count;Fwd IAT Total;Bwd Packet Length Std;Destination Port;Init_Win_bytes_forward;Bwd IAT Max;FIN Flag Count;Flow IAT Mean;Packet Length Std;Init_Win_bytes_backward;Bwd Packet Length Mean;Flow IAT Max;Packet Length Mean,fused_tad_score
15265,1,DDoS,0.5037783980369568,5,0.5305705666542053,-0.026792168617248535,0.5259602725505829,-0.022181874513626076,-0.004610294103622459,Bwd Packet Length Std;PSH Flag Count;ACK Flag Count;Bwd Packet Length Mean;Packet Length Variance,fused_tad_score
15265,1,DDoS,0.5037783980369568,10,0.4030395746231079,0.10073882341384888,0.5148942589759826,-0.011115860939025834,0.11185468435287471,Bwd Packet Length Std;PSH Flag Count;ACK Flag Count;Bwd Packet Length Mean;Packet Length Variance;Avg Bwd Segment Size;Max Packet Length;Average Packet Size;Packet Length Std;URG Flag Count,fused_tad_score
15265,1,DDoS,0.5037783980369568,20,0.4066982865333557,0.09708011150360107,0.5305301725864411,-0.026751774549484297,0.12383188605308537,Bwd Packet Length Std;PSH Flag Count;ACK Flag Count;Bwd Packet Length Mean;Packet Length Variance;Avg Bwd Segment Size;Max Packet Length;Average Packet Size;Packet Length Std;URG Flag Count;Flow Duration;Packet Length Mean;Fwd IAT Total;SYN Flag Count;Bwd IAT Total;Destination Port;Bwd Packet Length Max;Idle Min;Bwd IAT Max;Fwd IAT Max,fused_tad_score
